,Amount raised,Campaign end date,Campaign target,Category,Notes,Platform,Project,Rank,References
0,"$4,000,000,000+[1]","June 1, 2018",-,Blockchain,EOS is a blockchain operating system designed to support commercial decentralized applications.,Ethereum,EOS,1,
1,"$257,000,000[4]","September 7, 2017[2][3]",-,Blockchain,Filecoin is a decentralized data storage application.,Ethereum,Filecoin,2,
2,"$232,000,000[5]","July 14, 2017",-,Blockchain,Tezos is a self-governing blockchain.,Independent,Tezos,3,
3,"$204,000,000+[6]",Ongoing,$2M,Video game,"Space combat video game being developed by Chris Roberts, designer of Wing Commander. By April 19, 2013, a combined $9,061,882 had been raised on Kickstarter and Roberts' own website.[7] By March 2014, it had raised more than $40,680,576 through Roberts' own website and was listed as a Guinness World Record.[8] As of  November 27, 2018, Roberts' own website lists the funds raised as $204+ million.[9] Most of this total comes from pre-purchased in-game items which are sold on Roberts' website.[10]","Kickstarter, Independent",Star Citizen,4,
4,"$158,000,000[11]","December, 2017",-,Mobile,"A blockchain phone that makes it easier to use digital currency. Expected to sell for over $1000 with 25,000 units pre-ordered.[12]","Ethereum, Bitcoin",Sirin Labs (SRN),5,
5,"$153,000,000[13]","June 12, 2017",$100M,Blockchain,"The Bancor protocol is a smart contracts platform built on top of the Ethereum blockchain. Its goal is to solve a problem known in economics as the ""Double Coincidence of Wants Problem""[14] and offer a liquidity mechanism for tokens.",Ethereum,Bancor protocol,6,
6,"$150,000,000[16]","May 28, 2016[15]",$500K,Blockchain,"A publicly created and crowdfunded Decentralized Autonomous Organization, built on the Ethereum blockchain, that stored and transmitted Ether and Ethereum-based assets. Funds were held programatically by design in the cryptocurrency known as Ether, the actual USD amount raised varied in line with the Ether|USD exchange rate at any given moment. Final raised amount was ETH 11.5 million.[16] The amount listed is the conversion value of the raised Ethereum at the campaign end date.",Ethereum,The DAO,7,
7,"$144,300,000[18]","October 27, 2017[17]",-,Blockchain,"Polkadot is a heterogeneous multichain which posits a trustless fully decentralised ""federation"" of public and private blockchains with trust-free access to each other.",Ethereum,Polkadot,8,
8,"$103,000,000[19]","June 21, 2017",$12M,Blockchain,,Ethereum,Status,9,
9,"$102,000,000[citation needed]",Ongoing,-,Other,"Elio Motors is designing a three-wheel vehicle that the company says will get up to 84 MPG.[20] In October 2016, the company said it had received over 60,000 reservations. Their goal is to reach 65,000 reservations, and until they reach their goal, early adopters are able to reserve one of the vehicles for a locked price of $7,300[21][22] ($7,000 by completing the binding purchase agreement). After surpassing that milestone, the targeted base price for anyone that hasn't locked in is now $7,450.",Independent,Elio Motors,10,
10,"$80,000,000 (245,832 ETH)[23]","June 24, 2017",$80M,Blockchain,"TenX mission is to make any blockchain asset spendable anytime and anywhere. They offer a debit card system as one of their frontend solutions to customers and combine that with an open-source backend called COMIT that allows TenX to connect any blockchain through hashed timelock contracts (HTLCs). TenX raised 100,000 ETH in a pre-sale and another 145,000 ETH equivalent during their token sale on June 24, 2017.[24]",Ethereum,TenX,11,
11,"$70,600,000[25]","December 26, 2017",$50M,Blockchain,BANKEX is a blockchain-based distributed financial technology platform.[26] It allows people and enterprises to create and trade their digital assets represented as smart asset tokens on a blockchain.[27] BANKEX has raised $70.6 million during its token sale becoming 13th largest token sale of all time.[28][29],Ethereum,BANKEX,12,
12,"$70,000,000[30][31]","Sep 2, 2017",$70m,Blockchain,"TRON is a blockchain project that supports the global digital entertainment system. As an open-source project, it supports various types of smart contracts and contract systems such as Bitcoin, Ethereum and EOS.",Ethereum,TRON,13,
13,"$62,500,000.00","Jun 9, 2017",-,Blockchain,"æternity is a new type of open-source, public, Blockchain-based distributed computing platform that innovates and expands upon existing platforms such as Bitcoin, Ethereum. Real-world data can interface with smart contracts through decentralized oracles. True scalability and trust-less Turing-complete state channels sets æternity apart from all other Blockchain 2.0 projects. Contribution was divided into two phases and closed by 9 June 2017. Total amount raised in Phase 1 + Phase 2 is over $62.5 million (at ETH and BTC valuation on 9 June 2017).[citation needed]",Ethereum,æternity,14,
14,"$53,069,235[32]","May 24, 2017",-,Blockchain,"MobileGo tokens will be used to gamify the mobile platform, and to incentivize gamers for loyalty and participation through rewards. MobileGo tokens will also allow for smart contract technology. MobileGo tokens will allow for the development of a decentralized virtual mobile gamer marketplace, the ability for gamer vs. gamer decentralized match play, and decentralized tournaments run on smart contracts.","Ethereum, Waves platform",MobileGo,15,
15,"$35,000,000[33][34]","May 31, 2017",-,Blockchain,Basic Attention Token is a token on the Brave Browser. BAT allows marketers to sell and publishers to buy ads without exposing users to constant tracking. Targeting is handled by the browser. The user gets paid a small amount for viewing ads. The initial coin offering sold out in under 30 seconds.[1],Ethereum,Basic Attention Token,16,
16,"$31,645,088 (₿12,379.689)= 3,650,521 PLBT","July 5, 2017[35][36]",$25M for bank with Digital Pass.(Ladderized target with flexible plan.),Blockchain Bank,Project: Polybius Bank is a project aimed to create the world's first fully digital bank that is EU-regulated[37] and crowdfunded by its own users through tokens ($PLBT).[38],"Bitcoin, Ethereum",Polybius,17,
17,"$30,000,000 (71,850 ETH)[39]","November 22, 2017",$30M,"Blockchain, Ecommerce","CyberMiles is an in-development blockchain protocol specifically designed and optimized for e-commerce. Expected to be released by mid-2018, CyberMiles aims to democratize e-commerce and empower the decentralization of the online marketplace.[40]","Ethereum, Independent",CyberMiles,18,
18,"30,000,000[42]","Apr 30, 2018 [41]",$30m[42],"Blockchain, Healthcare","Solve. Care is a blockchain solution for more efficient coordination, administration and payments in the healthcare industry. Patients will be able to make reservations and share relevant data. Using a hybrid blockchain solution data is verified by the immutability of the blockchain without ever exposing private information.",Ethereum,Solve.Care,19,
19,"$27,907,995[43]","Oct 24, 2015","$100,000",3D Laser Printer,"Glowforge uses a beam of light the width of a human hair to cut, engrave, and shape designs from a variety of materials. Called a ""3D laser printer"" by the makers, it actuality it is a laser cutter","WordPress, Independent",Glowforge,20,
20,"$25,547,000","November 29, 2017",-,Blockchain,"In the current $550B ads market, too much money goes to the hidden ad network with too little added value for businesses and customers. BitClave is using blockchain to eliminate ad service “middlemen” and create a direct connection between businesses and customers. With BitClave, businesses have a direct relationship with customers and can offer a uniquely targeted promotion. With BitClave, an open search marketplace keeps prices fair, and elimination of intermediates brings all value to customers and businesses. On the BitClave Active Search Ecosystem (BASE), customers control their identity, decide who has access to their data, and are “paid” in BitClave's tokens each time businesses “use” their data to make them offers. In turn, customer can pay business for their products or services using BitClave’s token.",Ethereum,BitClave,21,
21,"$25,000,000[44]","May 17, 2017",-,Blockchain,"Aragon is a management platform for decentralized organizations. Aragon implements organizational features such as governance, fundraising, payroll and accounting. Aragon launched a token sale for the Aragon Network, the world's first decentralized jurisdiction. The Aragon Network will provide organizations subscribed to it with services such as a decentralized arbitration system or a code upgradeability mechanism. The token sale closed in about 15 minutes, peaking at a rate of $122,000 per second.[citation needed]",Ethereum,Aragon,22,
22,"$20,338,986[45]","Mar 27, 2015",$500K,Smartwatch,The Pebble Time is the second generation version of the smartwatch called the Pebble. The Pebble itself was one of the highest backed projects on Kickstarter.,Kickstarter,Pebble Time,23,
23,"$19,000,000[46]","Oct 6, 2015",-,Video game,"Prison construction and management simulation game by Introversion Software. It was made available as a paid alpha pre-order on September 25, 2012 and was one of the initial games in Valve's Steam Early Access program when it was launched.","Independent, Steam Early Access",Prison Architect,24,
24,"$18,371,025[48]",,$1.0B[47],Community,Construction of the Border barrier at the Mexico–United States border. The idea originated and gained popularity from the political platform of the Donald Trump 2016 presidential campaign.[49] The project has raised over $9 million dollars in only 3 days since its launch.,GoFundMe,We The People Will Fund The Wall,25,
25,"$18,300,000[50]","Sep 2, 2014",-,Blockchain,"Ethereum is a public blockchain-based distributed computing platform, featuring smart contract functionality and a cryptocurrency, Ether.",Independent,Ethereum,26,
26,"$17,000,000 = 34,000,000 AUD[51][52]","October 6, 2017",-,Blockchain,POWR token sale is Australia's first initial coin offering.[53] The company raised half of the total funds in three days during its pre-sale.[54],Ethereum,Power Ledger,27,
27,"$16,800,000[56]","Apr 6, 2017",$10m[55],Blockchain,Cosmos aims to create a network of ledgers to solve long-standing problems in the cryptocurrency and blockchain communities. One of the most prominent use cases is decentralized exchangeing from one currency to another. Currently this is largely done on centralized exchanges,"Bitcoin, Ethereum",Cosmos,28,
